953,2,0
1870,1,0
1987,1,0
3674,1,0
3893,1,0
4888,2,0
5196,1,0
5466,1,0
6232,1,0
6237,1,0
6238,1,0
6239,1,0
133,5,2
242,6,0
344,5,3
548,2,1
1243,1,0
1247,2,0
1248,1,0
1255,2,0
1259,5,1
1268,1,0
1270,1,0
1273,1,0
1274,1,0
1276,1,2
1277,5,0
1281,1,0
1286,1,0
1287,1,0
1291,1,0
1293,1,0
1298,5,1
1299,1,0
5069,1,1
139,1,1
520,1,0
574,1,2
958,1,0
1221,1,0
1475,1,0
1667,1,2
1974,1,0
2140,1,0
2180,1,0
2563,1,0
2666,1,0
2678,1,0
2998,1,0
3157,1,0
3289,1,0
3377,1,0
6518,1,0
7125,1,2
7126,1,0
7128,1,0
7130,1,0
142,7,4
991,7,5
1148,7,3
1161,2,0
2199,7,7
2830,7,0
2857,3,0
2944,1,0
3009,1,0
3485,7,7
3752,3,0
3756,1,0
3759,1,0
3762,2,0
144,1,0
145,1,1
1563,1,0
3772,1,0
4824,5,0
5352,1,0
5837,1,0
6291,1,0
6887,1,2
177,8,9
207,1,0
742,1,0
778,7,0
830,8,8
2208,8,10
2382,2,1
3046,8,12
3070,2,0
3094,1,0
3159,1,0
4264,1,0
4467,1,0
4469,1,1
4472,8,10
4473,8,8
4474,1,0
4475,2,0
188,1,0
189,9,0
18527,8,3
18528,8,3
508,9,2
2332,9,0
3444,2,0
18412,9,2
18469,9,2
363,1,0
925,1,2
2009,10,0
2213,4,0
2686,1,0
2861,3,2
2945,1,2
3036,1,0
3072,3,0
4240,1,2
4496,1,0
4585,1,0
4706,3,0
4920,1,0
4922,1,0
4928,3,4
4932,1,0
4933,2,0
4939,1,0
4948,1,0
199,1,0
5541,1,0
5542,1,0
5545,1,0
18610,1,1
18611,1,1
208,2,0
18590,8,11
18591,8,11
614,1,2
1970,3,0
2623,8,12
4540,8,0
225,1,0
226,3,1
2206,9,1
18737,1,0
18738,1,2
18857,1,5
18858,1,5
19084,4,0
19085,4,0
229,1,1
350,1,0
1492,1,0
1507,4,0
2291,1,0
3126,1,0
3581,1,0
4231,1,0
4410,1,0
5090,1,0
5091,1,2
235,1,0
373,8,1
18536,6,0
18537,8,1
787,7,0
2380,8,2
18419,6,0
253,1,5
2585,1,4
2794,1,6
2819,1,2
3093,1,6
5348,1,3
262,1,0
263,3,0
265,1,0
291,2,0
292,1,0
294,1,0
1595,2,0
18623,3,2
18638,3,2
397,8,0
1772,8,0
2616,8,2
11168,1,0
2432,2,1
9119,1,1
4085,1,1
1509,6,0
18834,3,1
18837,1,0
18862,1,1
18863,1,1
19038,1,2
19039,1,2
555,1,1
867,3,0
1419,2,0
1799,1,0
3008,3,2
3422,1,2
3541,2,0
4059,1,0
5168,1,0
5663,1,0
6640,1,0
310,2,0
311,2,3
313,8,11
316,3,0
319,2,1
324,1,0
421,3,0
581,1,1
748,2,2
1842,2,0
3743,1,0
4283,2,0
5989,1,5
6491,8,4
7587,3,0
965,4,0
2383,5,0
3023,4,0
3427,8,0
4639,7,0
5281,8,12
4441,4,0
1209,6,0
5501,2,2
18617,1,1
18618,1,1
18521,1,1
18522,1,1
18972,3,1
18973,3,1
333,1,1
1199,1,0
1201,1,0
2182,1,2
2186,1,1
2801,1,0
4438,1,0
4481,1,0
5023,1,0
5892,1,0
7229,1,0
7231,1,0
7233,1,0
336,2,3
